"日期","收市","開市","高","低","成交量","更改%"
"2022年1月7日","466.09","467.95","469.20","464.65","85.11M","-0.40%"
"2022年1月6日","467.94","467.89","470.82","465.43","85.72M","-0.09%"
"2022年1月5日","468.38","477.16","477.98","468.28","100.64M","-1.92%"
"2022年1月4日","477.55","479.22","479.98","475.58","68.19M","-0.03%"
"2022年1月3日","477.71","476.30","477.85","473.85","71.51M","0.58%"
"2021年12月31日","474.96","475.64","476.86","474.67","65.24M","-0.25%"
"2021年12月30日","476.16","477.93","479.00","475.67","51.51M","-0.28%"
"2021年12月29日","477.48","476.98","478.56","475.92","53.08M","0.13%"
"2021年12月28日","476.87","477.72","478.81","476.06","44.97M","-0.08%"
"2021年12月27日","477.26","472.06","477.31","472.01","55.10M","1.42%"
"2021年12月23日","470.60","468.75","472.19","468.64","56.44M","0.62%"
"2021年12月22日","467.69","462.79","467.81","462.58","56.78M","1.00%"
"2021年12月21日","463.06","458.61","463.21","456.31","68.08M","1.78%"
"2021年12月20日","454.98","454.48","455.40","451.14","105.77M","-1.06%"
"2021年12月17日","459.87","461.55","464.74","458.06","135.64M","-1.41%"
"2021年12月16日","466.45","472.57","472.87","464.80","114.77M","-0.88%"
"2021年12月15日","470.60","463.42","470.86","460.74","115.78M","1.56%"
"2021年12月14日","463.36","463.09","465.74","460.25","95.49M","-0.69%"
"2021年12月13日","466.57","470.19","470.56","466.27","84.99M","-0.89%"
"2021年12月10日","470.74","469.23","470.90","466.51","77.16M","0.94%"
"2021年12月9日","466.35","468.15","469.63","466.14","59.48M","-0.68%"
"2021年12月8日","469.52","468.70","470.00","466.83","71.47M","0.26%"
"2021年12月7日","468.28","464.41","468.88","458.65","93.79M","2.07%"
"2021年12月6日","458.79","456.13","460.79","453.56","97.88M","1.18%"
"2021年12月3日","453.42","459.17","460.30","448.92","137.33M","-0.87%"
"2021年12月2日","457.40","450.60","459.04","450.41","127.64M","1.53%"
"2021年12月1日","450.50","461.76","464.67","450.44","132.49M","-1.11%"
"2021年11月30日","455.56","462.03","463.99","455.34","148.56M","-1.95%"
"2021年11月29日","464.60","464.09","466.54","461.76","86.27M","1.23%"
"2021年11月26日","458.97","462.34","463.90","457.77","112.65M","-2.23%"
"2021年11月24日","469.44","466.06","469.57","465.19","61.86M","0.27%"
"2021年11月23日","468.19","467.17","469.06","464.47","73.21M","0.13%"
"2021年11月22日","467.57","470.89","473.52","467.40","72.76M","-0.28%"
"2021年11月19日","468.89","469.61","470.94","468.50","57.32M","-0.18%"
"2021年11月18日","469.73","469.24","470.01","466.34","50.63M","0.34%"
"2021年11月17日","468.14","469.00","469.19","467.48","46.54M","-0.24%"
"2021年11月16日","469.28","467.24","470.48","467.11","48.86M","0.40%"
"2021年11月15日","467.43","468.66","468.71","466.25","46.98M","0.03%"
"2021年11月12日","467.27","465.12","467.86","464.11","53.47M","0.75%"
"2021年11月11日","463.77","465.21","465.29","463.75","34.34M","0.03%"
"2021年11月10日","463.62","465.55","467.38","462.06","69.43M","-0.80%"
"2021年11月9日","467.38","469.47","469.55","465.88","51.15M","-0.33%"
"2021年11月8日","468.93","469.77","470.20","468.22","50.41M","0.09%"
"2021年11月5日","468.53","469.28","470.65","466.92","66.39M","0.35%"
"2021年11月4日","466.91","465.40","466.99","465.02","52.85M","0.47%"
"2021年11月3日","464.72","461.30","465.06","460.83","52.51M","0.61%"
"2021年11月2日","461.90","460.29","462.22","460.12","48.91M","0.40%"
"2021年11月1日","460.04","460.32","460.68","458.21","48.43M","0.17%"
"2021年10月29日","459.25","455.87","459.56","455.56","70.16M","0.20%"
"2021年10月28日","458.32","455.68","458.38","455.62","51.44M","0.96%"
"2021年10月27日","453.94","456.53","457.11","453.90","72.44M","-0.44%"
"2021年10月26日","455.96","457.26","458.48","455.59","56.08M","0.09%"
"2021年10月25日","455.55","454.25","455.89","452.40","45.21M","0.54%"
"2021年10月22日","453.12","453.13","454.67","451.05","58.85M","-0.10%"
"2021年10月21日","453.59","451.70","453.81","451.32","41.31M","0.26%"
"2021年10月20日","452.41","451.03","452.71","451.03","49.57M","0.39%"
"2021年10月19日","450.64","448.99","450.67","448.30","47.00M","0.77%"
"2021年10月18日","447.19","444.06","447.54","443.31","62.21M","0.30%"
"2021年10月15日","445.87","444.75","446.26","444.09","66.26M","0.76%"
"2021年10月14日","442.50","439.22","442.64","438.60","70.24M","1.68%"
"2021年10月13日","435.18","434.71","436.05","431.54","72.97M","0.36%"
"2021年10月12日","433.62","435.68","436.09","432.80","71.18M","-0.25%"
"2021年10月11日","434.69","437.16","440.24","434.66","65.23M","-0.72%"
"2021年10月8日","437.86","439.48","439.89","437.19","74.56M","-0.18%"
"2021年10月7日","438.66","438.37","441.66","438.22","72.44M","0.86%"
"2021年10月6日","434.90","429.18","435.10","427.55","113.03M","0.42%"
"2021年10月5日","433.10","430.24","435.49","429.39","90.68M","1.04%"
"2021年10月4日","428.64","432.96","433.92","426.39","128.57M","-1.29%"
"2021年10月1日","434.24","430.98","436.03","427.23","129.24M","1.19%"
"2021年9月30日","429.14","435.92","436.74","429.08","140.51M","-1.22%"
"2021年9月29日","434.45","435.09","437.02","433.87","82.33M","0.17%"
"2021年9月28日","433.72","439.37","440.02","433.02","130.44M","-2.02%"
"2021年9月27日","442.64","442.81","444.03","441.97","61.37M","-0.29%"
"2021年9月24日","443.91","441.44","444.67","441.21","62.10M","0.16%"
"2021年9月23日","443.18","439.82","444.87","439.62","76.40M","1.22%"
"2021年9月22日","437.86","436.14","440.02","435.08","102.35M","0.98%"
"2021年9月21日","433.63","436.67","437.87","433.08","92.53M","-0.09%"
"2021年9月20日","434.04","434.65","436.51","428.87","166.45M","-1.67%"
